GeneID,Symbol,Synonyms,chromosome,Ensembl,HGNC,MIM,type_of_gene
1,A1BG,A1B|ABG|GAB|HYST2477,19,ENSG00000121410,HGNC:5,138670,protein-coding
2,A2M,A2MD|CPAMD5|FWP007|S863-7,12,ENSG00000175899,HGNC:7,103950,protein-coding
3,A2MP1,A2MP,12,ENSG00000291190,HGNC:8,,pseudo
9,NAT1,AAC1|MNAT|NAT-1|NATI,8,ENSG00000171428,HGNC:7645,108345,protein-coding
10,NAT2,AAC2|NAT-2|PNAT,8,ENSG00000156006,HGNC:7646,612182,protein-coding
11,NATP,AACP|NATP1,8,,HGNC:15,,pseudo
12,SERPINA3,AACT|ACT|GIG24|GIG25,14,ENSG00000196136,HGNC:16,107280,protein-coding
13,AADAC,CES5A1|DAC,3,ENSG00000114771,HGNC:17,600338,protein-coding
14,AAMP,-,2,ENSG00000127837,HGNC:18,603488,protein-coding
15,AANAT,DSPS|SNAT,17,ENSG00000129673,HGNC:19,600950,protein-coding
16,AARS1,AARS|CMT2N|DEE29|EIEE29|HDLS2|TTD8,16,ENSG00000090861,HGNC:20,601065,protein-coding
17,AAVS1,AAV,19,,HGNC:22,102699,other
18,ABAT,GABA-AT|GABAT|NPD009,16,ENSG00000183044,HGNC:23,137150,protein-coding
19,ABCA1,ABC-1|ABC1|CERP|HDLCQTL13|HDLDT1|HPALP1|TGD,9,ENSG00000165029,HGNC:29,600046,protein-coding
20,ABCA2,ABC2|IDPOGSA,9,ENSG00000107331,HGNC:32,600047,protein-coding
21,ABCA3,ABC-C|ABC3|EST111653|LBM180|SMDP3,16,ENSG00000167972,HGNC:33,601615,protein-coding
22,ABCB7,ABC7|ASAT|Atm1p|EST140535,X,ENSG00000131269,HGNC:48,300135,protein-coding
23,ABCF1,ABC27|ABC50,6,ENSG00000204574,HGNC:70,603429,protein-coding
24,ABCA4,ABC10|ABCR|ARMD2|CORD3|FFM|RMP|RP19|STGD|STGD1,1,ENSG00000198691,HGNC:34,601691,protein-coding
25,ABL1,ABL|BCR-ABL|CHDSKM|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl,9,ENSG00000097007,HGNC:76,189980,protein-coding
