"GeneID","Symbol","Synonyms","chromosome","Ensembl","HGNC","MIM"
"1","A1BG","A1B|ABG|GAB|HYST2477","19","ENSG00000121410","HGNC:5","138670"
"2","A2M","A2MD|CPAMD5|FWP007|S863-7","12","ENSG00000175899","HGNC:7","103950"
"9","NAT1","AAC1|MNAT|NAT-1|NATI","8","ENSG00000171428","HGNC:7645","108345"
"10","NAT2","AAC2|NAT-2|PNAT","8","ENSG00000156006","HGNC:7646","612182"
"12","SERPINA3","AACT|ACT|GIG24|GIG25","14","ENSG00000196136","HGNC:16","107280"
"13","AADAC","CES5A1|DAC","3","ENSG00000114771","HGNC:17","600338"
"14","AAMP","-","2","ENSG00000127837","HGNC:18","603488"
"15","AANAT","DSPS|SNAT","17","ENSG00000129673","HGNC:19","600950"
"16","AARS1","AARS|CMT2N|DEE29|EIEE29|HDLS2|TTD8","16","ENSG00000090861","HGNC:20","601065"
"18","ABAT","GABA-AT|GABAT|NPD009","16","ENSG00000183044","HGNC:23","137150"
"19","ABCA1","ABC-1|ABC1|CERP|HDLCQTL13|HDLDT1|HPALP1|TGD","9","ENSG00000165029","HGNC:29","600046"
"20","ABCA2","ABC2|IDPOGSA","9","ENSG00000107331","HGNC:32","600047"
"21","ABCA3","ABC-C|ABC3|EST111653|LBM180|SMDP3","16","ENSG00000167972","HGNC:33","601615"
"22","ABCB7","ABC7|ASAT|Atm1p|EST140535","X","ENSG00000131269","HGNC:48","300135"
"23","ABCF1","ABC27|ABC50","6","ENSG00000204574","HGNC:70","603429"
"24","ABCA4","ABC10|ABCR|ARMD2|CORD3|FFM|RMP|RP19|STGD|STGD1","1","ENSG00000198691","HGNC:34","601691"
"25","ABL1","ABL|BCR-ABL|CHDSKM|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl","9","ENSG00000097007","HGNC:76","189980"
"26","AOC1","ABP|ABP1|DAO|DAO1|KAO|KDAO","7","ENSG00000002726","HGNC:80","104610"
"27","ABL2","ABLL|ARG","1","ENSG00000143322","HGNC:77","164690"
"28","ABO","A3GALNT|A3GALT1|GTB|NAGAT","9","ENSG00000175164","HGNC:79","110300"
"29","ABR","MDB","17","ENSG00000159842","HGNC:81","600365"
"30","ACAA1","ACAA|Lnc-Myd88|PTHIO|THIO","3","ENSG00000060971","HGNC:82","604054"
"31","ACACA","ACAC|ACACAD|ACACalpha|ACC|ACC1|ACCA|ACCalpha|Acac1|hACC1","17","ENSG00000278540","HGNC:84","200350"
"32","ACACB","ACACbeta|ACC-beta|ACC2|ACCB|ACCbeta|HACC275","12","ENSG00000076555","HGNC:85","601557"
"33","ACADL","ACAD4|LCAD","2","ENSG00000115361","HGNC:88","609576"
"34","ACADM","ACAD1|MCAD|MCADH","1","ENSG00000117054","HGNC:89","607008"
"35","ACADS","ACAD3|SCAD","12","ENSG00000122971","HGNC:90","606885"
"36","ACADSB","2-MEBCAD|ACAD7|SBCAD","10","ENSG00000196177","HGNC:91","600301"
"37","ACADVL","ACAD6|LCACD|VLCAD","17","ENSG00000072778","HGNC:92","609575"
"38","ACAT1","ACAT|MAT|T2|THIL","11","ENSG00000075239","HGNC:93","607809"
"39","ACAT2","-","6","ENSG00000120437","HGNC:94","100678"
"40","ASIC2","ACCN|ACCN1|ASIC2a|BNC1|BNaC1|MDEG|hBNaC1","17","ENSG00000108684","HGNC:99","601784"
"41","ASIC1","ACCN2|ASIC|BNaC2","12","ENSG00000110881","HGNC:100","602866"
"43","ACHE","ACEE|ARACHE|N-ACHE|YT","7","ENSG00000087085","HGNC:108","100740"
"47","ACLY","ACL|ATPCL|CLATP","17","ENSG00000131473","HGNC:115","108728"
"48","ACO1","ACONS|HEL60|IREB1|IREBP|IREBP1|IRP1","9","ENSG00000122729","HGNC:117","100880"
"49","ACR","SPGF87","22","ENSG00000100312","HGNC:126","102480"
"50","ACO2","ACONM|HEL-S-284|ICRD|OCA8|OPA9","22","ENSG00000100412","HGNC:118","100850"
"51","ACOX1","ACOX|AOX|MITCH|PALMCOX|SCOX","17","ENSG00000161533","HGNC:119","609751"
"52","ACP1","HAAP|LMW-PTP|LMWPTP","2","ENSG00000143727","HGNC:122","171500"
"53","ACP2","LAP","11","ENSG00000134575","HGNC:123","171650"
"54","ACP5","HPAP|TRACP5a|TRACP5b|TRAP|TRAcP|TrATPase","19","ENSG00000102575","HGNC:124","171640"
"55","ACP3","5'-NT|ACP-3|ACPP|TM-PAP","3","ENSG00000014257","HGNC:125","171790"
"56","ACRV1","D11S4365|SP-10|SPACA2","11","ENSG00000134940","HGNC:127","102525"
"58","ACTA1","ACTA|ASMA|CFTD|CFTD1|CFTDM|CMYO2A|CMYO2B|CMYO2C|CMYP2A|CMYP2B|CMYP2C|MPFD|NEM1|NEM2|NEM3|SHPM","1","ENSG00000143632","HGNC:129","102610"
"59","ACTA2","ACTSA|SMDYS","10","ENSG00000107796","HGNC:130","102620"
"60","ACTB","BKRNS|BNS|BRWS1|CSMH|DDS1|PS1TP5BP1|THC8","7","ENSG00000075624","HGNC:132","102630"
"70","ACTC1","ACTC|ASD5|CMD1R|CMH11|LVNC4","15","ENSG00000159251","HGNC:143","102540"
"71","ACTG1","ACT|ACTG|DFNA20|DFNA26|HEL-176","17","ENSG00000184009","HGNC:144","102560"
"72","ACTG2","ACT|ACTA3|ACTE|ACTL3|ACTSG|MMIHS5|VSCM|VSCM1","2","ENSG00000163017","HGNC:145","102545"
"81","ACTN4","ACTININ-4|FSGS|FSGS1","19","ENSG00000130402","HGNC:166","604638"
"86","ACTL6A","ACTL6|ARPN-BETA|Arp4|BAF53A|INO80K|SMARCN1","3","ENSG00000136518","HGNC:24124","604958"
"87","ACTN1","BDPLT15","14","ENSG00000072110","HGNC:163","102575"
"88","ACTN2","CMD1AA|CMH23|CMYO8|CMYP8|MPD6|MYOCOZ","1","ENSG00000077522","HGNC:164","102573"
"89","ACTN3","ACTN3D","11","ENSG00000248746","HGNC:165","102574"
"90","ACVR1","ACTRI|ACVR1A|ACVRLK2|ALK2|FOP|SKR1|TSRI","2","ENSG00000115170","HGNC:171","102576"
"91","ACVR1B","ACTRIB|ACVRLK4|ALK4|SKR2","12","ENSG00000135503","HGNC:172","601300"
"92","ACVR2A","ACTRII|ACVR2","2","ENSG00000121989","HGNC:173","102581"
"93","ACVR2B","ACTRIIB|ActR-IIB|HTX4","3","ENSG00000114739","HGNC:174","602730"
"94","ACVRL1","ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I","12","ENSG00000139567","HGNC:175","601284"
"95","ACY1","ACY-1|ACY1D|HEL-S-5","3","ENSG00000243989","HGNC:177","104620"
"97","ACYP1","ACYPE","14","ENSG00000119640","HGNC:179","600875"
"98","ACYP2","ACYM|ACYP","2","ENSG00000170634","HGNC:180","102595"
"100","ADA","ADA1","20","ENSG00000196839","HGNC:186","608958"
"101","ADAM8","CD156|CD156a|MS2","10","ENSG00000151651","HGNC:215","602267"
"102","ADAM10","AD10|AD18|CD156c|CDw156|HsT18717|MADM|RAK|kuz","15","ENSG00000137845","HGNC:188","602192"
"103","ADAR","ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136","1","ENSG00000160710","HGNC:225","146920"
"104","ADARB1","ADAR2|DRABA2|DRADA2|NEDHYMS|RED1","21","ENSG00000197381","HGNC:226","601218"
"105","ADARB2","ADAR3|RED2","10","ENSG00000185736","HGNC:227","602065"
"107","ADCY1","AC1|DFNB44","7","ENSG00000164742","HGNC:232","103072"
"108","ADCY2","AC2|HBAC2","5","ENSG00000078295","HGNC:233","103071"
"109","ADCY3","AC-III|AC3|BMIQ19","2","ENSG00000138031","HGNC:234","600291"
"111","ADCY5","AC5|DSKOD|FDFM","3","ENSG00000173175","HGNC:236","600293"
"112","ADCY6","AC6|LCCS8","12","ENSG00000174233","HGNC:237","600294"
"113","ADCY7","AC7","16","ENSG00000121281","HGNC:238","600385"
"114","ADCY8","AC8|ADCY3|HBAC1","8","ENSG00000155897","HGNC:239","103070"
"115","ADCY9","AC9|ACIX","16","ENSG00000162104","HGNC:240","603302"
"116","ADCYAP1","PACAP","18","ENSG00000141433","HGNC:241","102980"
"117","ADCYAP1R1","PAC1|PAC1R|PACAPR|PACAPRI","7","ENSG00000078549","HGNC:242","102981"
"118","ADD1","ADDA","4","ENSG00000087274","HGNC:243","102680"
"119","ADD2","ADDB","2","ENSG00000075340","HGNC:244","102681"
"120","ADD3","ADDL|CPSQ3","10","ENSG00000148700","HGNC:245","601568"
"123","PLIN2","ADFP|ADRP","9","ENSG00000147872","HGNC:248","103195"
"124","ADH1A","ADH1","4","ENSG00000187758","HGNC:249","103700"
"125","ADH1B","ADH2|HEL-S-117","4","ENSG00000196616","HGNC:250","103720"
"126","ADH1C","ADH3","4","ENSG00000248144","HGNC:251","103730"
"127","ADH4","ADH-2|HEL-S-4","4","ENSG00000198099","HGNC:252","103740"
"128","ADH5","ADH-3|ADHX|AMEDS|BMFS7|FALDH|FDH|GSH-FDH|GSNOR|HEL-S-60p","4","ENSG00000197894","HGNC:253","103710"
"130","ADH6","ADH-5","4","ENSG00000172955","HGNC:255","103735"
"131","ADH7","ADH4","4","ENSG00000196344","HGNC:256","600086"
"132","ADK","AK","10","ENSG00000156110","HGNC:257","102750"
"133","ADM","AM|PAMP","11","ENSG00000148926","HGNC:259","103275"
"134","ADORA1","RDC7","1","ENSG00000163485","HGNC:262","102775"
"135","ADORA2A","A2aR|ADORA2|RDC8","22","ENSG00000128271","HGNC:263","102776"
"136","ADORA2B","ADORA2","17","ENSG00000170425","HGNC:264","600446"
"140","ADORA3","A3AR","1","ENSG00000282608","HGNC:268","600445"
"141","ADPRH","ARH1|hARH1","3","ENSG00000144843","HGNC:269","603081"
"142","PARP1","ADPRT|ADPRT 1|ADPRT1|ARTD1|PARP|PARP-1|PARS|PPOL|Poly-PARP|pADPRT-1","1","ENSG00000143799","HGNC:270","173870"
"143","PARP4","ADPRTL1|ARTD4|PARP-4|PARPL|PH5P|VAULT3|VPARP|VWA5C|p193","13","ENSG00000102699","HGNC:271","607519"
"146","ADRA1D","ADRA1|ADRA1A|ADRA1R|ALPHA1|DAR|dJ779E11.2","20","ENSG00000171873","HGNC:280","104219"
"147","ADRA1B","ADRA1|ALPHA1BAR","5","ENSG00000170214","HGNC:278","104220"
"148","ADRA1A","ADRA1C|ADRA1L1|ALPHA1AAR","8","ENSG00000120907","HGNC:277","104221"
"150","ADRA2A","ADRA2|ADRA2R|ADRAR|ALPHA2AAR|FPLD8|ZNF32","10","ENSG00000150594","HGNC:281","104210"
"151","ADRA2B","ADRA2L1|ADRA2RL1|ADRARL1|ALPHA2BAR|FAME2|alpha-2BAR","2","ENSG00000274286","HGNC:282","104260"
"152","ADRA2C","ADRA2L2|ADRA2RL2|ADRARL2|ALPHA2CAR","4","ENSG00000184160","HGNC:283","104250"
"153","ADRB1","ADRB1R|B1AR|BETA1AR|FNSS2|RHR","10","ENSG00000043591","HGNC:285","109630"
"154","ADRB2","ADRB2R|ADRBR|ARB2|B2AR|BAR|BETA2AR","5","ENSG00000169252","HGNC:286","109690"
"155","ADRB3","BETA3AR","8","ENSG00000188778","HGNC:288","109691"
"156","GRK2","ADRBK1|BARK1|BETA-ARK1","11","ENSG00000173020","HGNC:289","109635"
"157","GRK3","ADRBK2|BARK2","22","ENSG00000100077","HGNC:290","109636"
"158","ADSL","AMPS|ASASE|ASL","22","ENSG00000239900","HGNC:291","608222"
"159","ADSS2","ADEH|ADSS|ADSS 2","1","ENSG00000035687","HGNC:292","103060"
"160","AP2A1","ADTAA|AP2-ALPHA|CLAPA1","19","ENSG00000196961","HGNC:561","601026"
"161","AP2A2","ADTAB|CLAPA2|HIP-9|HIP9|HYPJ","11","ENSG00000183020","HGNC:562","607242"
"162","AP1B1","ADTB1|AP105A|BAM22|CLAPB2|KIDAR","22","ENSG00000100280","HGNC:554","600157"
"163","AP2B1","ADTB2|AP105B|AP2-BETA|CLAPB1","17","ENSG00000006125","HGNC:563","601025"
"164","AP1G1","ADTG|CLAPG1|USRISD","16","ENSG00000166747","HGNC:555","603533"
"165","AEBP1","ACLP","7","ENSG00000106624","HGNC:303","602981"
"166","TLE5","AES|AES-1|AES-2|ESP1|GRG|GRG5|Grg-5","19","ENSG00000104964","HGNC:307","600188"
"167","CRISP1","AEGL1|ARP|CRISP-1|HEL-S-57|HSCRISP1D|HSCRISP1G|HUMARP","6","ENSG00000124812","HGNC:304","601193"
"173","AFM","ALB2|ALBA|ALF","4","ENSG00000079557","HGNC:316","104145"
"174","AFP","AFPD|FETA|HPAFP","4","ENSG00000081051","HGNC:317","104150"
"175","AGA","AGU|ASRG|GA","4","ENSG00000038002","HGNC:318","613228"
"176","ACAN","AGC1|AGCAN|CSPG1|CSPGCP|MSK16|SEDK|SSOAOD","15","ENSG00000157766","HGNC:319","155760"
"177","AGER","RAGE|SCARJ1|sRAGE","6","ENSG00000204305","HGNC:320","600214"
"178","AGL","GDE","1","ENSG00000162688","HGNC:321","610860"
"181","AGRP","AGRT|ART|ASIP2","16","ENSG00000159723","HGNC:330","602311"
"182","JAG1","AGS|AGS1|AHD|AWS|CD339|CMT2HH|DCHE|HJ1|JAGL1","20","ENSG00000101384","HGNC:6188","601920"
"183","AGT","ANHU|SERPINA8|hFLT1","1","ENSG00000135744","HGNC:333","106150"
"185","AGTR1","AG2S|AGTR1B|AT1|AT1AR|AT1B|AT1BR|AT1R|AT2R1|ATR1|HAT1R","3","ENSG00000144891","HGNC:336","106165"
"186","AGTR2","AT2|ATGR2|MRX88","X","ENSG00000180772","HGNC:338","300034"
"187","APLNR","AGTRL1|APJ|APJR|HG11","11","ENSG00000134817","HGNC:339","600052"
"189","AGXT","AGT|AGT1|AGXT1|PH1|SPAT|SPT|Ser-PyrAT|TLH6","2","ENSG00000172482","HGNC:341","604285"
"190","NR0B1","AHC|AHCH|AHX|DAX-1|DAX1|DSS|GTD|HHG|NROB1|SRXY2","X","ENSG00000169297","HGNC:7960","300473"
"191","AHCY","SAHH|adoHcyase","20","ENSG00000101444","HGNC:343","180960"
"196","AHR","FVH3|RP85|bHLHe76","7","ENSG00000106546","HGNC:348","600253"
"197","AHSG","A2HS|AHS|APMR1|FETUA|HSGA","3","ENSG00000145192","HGNC:349","138680"
"199","AIF1","AIF-1|IBA1|IRT-1|IRT1","6","ENSG00000204472","HGNC:352","601833"
"202","CRYBG1","AIM1|ST4","6","ENSG00000112297","HGNC:356","601797"
"203","AK1","ADK|Adk1|CNSHA3|HTL-S-58j","9","ENSG00000106992","HGNC:361","103000"
"204","AK2","ADK2","1","ENSG00000004455","HGNC:362","103020"
"205","AK4","AK 4|AK3|AK3L1|AK3L2","1","ENSG00000162433","HGNC:363","103030"
"207","AKT1","AKT|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA","14","ENSG00000142208","HGNC:391","164730"
"208","AKT2","HIHGHH|PKBB|PKBBETA|PRKBB|RAC-BETA","19","ENSG00000105221","HGNC:392","164731"
"210","ALAD","ALADH|PBGS","9","ENSG00000148218","HGNC:395","125270"
"211","ALAS1","ALAS|ALAS-H|ALAS3|ALASH|MIG4","3","ENSG00000023330","HGNC:396","125290"
"212","ALAS2","ALAS-E|ALASE|ANH1|ASB|SIDBA1|XLDPP|XLEPP|XLSA","X","ENSG00000158578","HGNC:397","301300"
"213","ALB","FDAHT|HSA|PRO0883|PRO0903|PRO1341","4","ENSG00000163631","HGNC:399","103600"
"214","ALCAM","CD166|MEMD","3","ENSG00000170017","HGNC:400","601662"
